Kind,Name,File,CountOutput,CountPath,CountInput
Static Function,ap_buffered_log_writer,mod_log_config.c,13,9,17
Static Function,ap_buffered_log_writer_init,mod_log_config.c,6,2,6
Function,ap_build_config,config.c,10,378,15
Static Function,ap_build_config_sub,config.c,25,187,19
Function,ap_build_cont_config,config.c,10,40,10
Function,ap_byterange_filter,byterange_filter.c,26,528,36
Function,ap_cache_cacheable_headers,cache_util.c,4,3,11
Function,ap_cache_cacheable_headers_in,cache_util.c,2,1,6
Function,ap_cache_cacheable_headers_out,cache_util.c,5,1,5
Function,ap_cache_check_no_cache,cache_util.c,4,8,21
Function,ap_cache_check_no_store,cache_util.c,4,8,22
Function,ap_cache_control,cache_util.c,28,117,12
Function,ap_cache_current_age,cache_util.c,1,2,7
Function,ap_cache_generate_name,cache_util.c,3,1,8
Function,ap_cache_hex2usec,cache_util.c,2,4,1
Function,ap_cache_tokstr,cache_util.c,6,8,2
Function,ap_cache_usec2hex,cache_util.c,1,3,1
Function,ap_calc_scoreboard_size,scoreboard.c,3,1,5
Function,ap_calloc,util.c,3,2,6
Function,ap_cfg_closefile,util.c,2,1,13
Function,ap_cfg_getc,util.c,3,2,3
Function,ap_cfg_getline,util.c,3,2,10
Static Function,ap_cfg_getline_core,util.c,6,33,8
Function,ap_check_cmd_context,core.c,4,9,106
Function,ap_check_mpm,mpm_common.c,4,5,5
Function,ap_check_pipeline,http_request.c,8,901,17
Function,ap_cleanup_scoreboard,scoreboard.c,4,3,4
Static Function,ap_cleanup_shared_mem,scoreboard.c,4,1,3
Function,ap_clear_auth_internal,request.c,2,1,1
Function,ap_clear_method_list,http_protocol.c,4,1,2
Function,ap_close_listeners,listen.c,1,2,6
Function,ap_close_listeners_ex,listen.c,2,2,7
Function,ap_close_piped_log,log.c,1,1,2
Function,ap_close_selected_listeners,listen.c,3,3,5
Function,ap_condition_if_match,http_protocol.c,3,3,6
Function,ap_condition_if_modified_since,http_protocol.c,4,17,7
Function,ap_condition_if_none_match,http_protocol.c,4,9,7
Function,ap_condition_if_range,http_protocol.c,5,15,8
Function,ap_condition_if_unmodified_since,http_protocol.c,4,17,7
Function,ap_construct_server,util.c,4,2,4
Function,ap_construct_url,core.c,7,2,11
Function,ap_content_length_filter,protocol.c,21,176,34
Function,ap_content_type_tolower,util.c,2,4,2
Function,ap_context_document_root,core.c,2,2,7
Function,ap_context_prefix,core.c,1,2,7
Function,ap_cookie_check_string,util_cookies.c,2,2,2
Function,ap_cookie_read,util_cookies.c,14,4,19
Function,ap_cookie_remove,util_cookies.c,6,4,13
Function,ap_cookie_remove2,util_cookies.c,6,4,13
Function,ap_cookie_write,util_cookies.c,7,8,16
Function,ap_cookie_write2,util_cookies.c,7,8,16
Function,ap_copy_method_list,http_protocol.c,4,2,8
Function,ap_copy_scoreboard_worker,scoreboard.c,8,1,9
Function,ap_core_child_status,mpm_common.c,17,72,21
Function,ap_core_input_filter,core_filters.c,20,551,24
Function,ap_core_output_filter,core_filters.c,20,172662,30
Function,ap_core_reorder_directories,core.c,6,5,8
Function,ap_core_translate,core.c,8,15,18
Function,ap_count_dirs,util.c,1,3,3
Function,ap_create_conn_config,config.c,2,1,2
Function,ap_create_environment,util_script.c,7,39,9
Function,ap_create_per_dir_config,config.c,2,1,10
Function,ap_create_request_config,config.c,2,1,8
Function,ap_create_sb_handle,scoreboard.c,3,1,5
Function,ap_create_scoreboard,scoreboard.c,14,5,10
